instance,n_jobs,n_tools,magazine_size,variations,n_switches,time_running,run_type,sequence,switches
"('yan', 8, 15, 10)",8,15,10,30,6.87,2.64837,TUNED-RR-02,[],
"('cram', 30, 40, 25)",30,40,25,10,41.4,421.5073,TUNED-RR-02,[],
"('cat', 15, 20, 12)",15,20,12,10,7.3,16.596400000000003,TUNED-RR-02,[],
"('cat', 30, 40, 17)",30,40,17,10,78.5,421.2045,TUNED-RR-02,[],
"('cat', 40, 60, 30)",40,60,30,10,120.5,421.3043,TUNED-RR-02,[],
