instance,n_jobs,n_tools,magazine_size,variations,n_switches,time_running,run_type,sequence,switches
"('yan', 8, 15, 10)",8,15,10,30,7.8,1.89753,SSD-01,[],
"('cram', 30, 40, 25)",30,40,25,10,52.6,3.542,SSD-01,[],
"('cat', 15, 20, 12)",15,20,12,10,9.2,2.8868,SSD-01,[],
"('cat', 30, 40, 17)",30,40,17,10,98.5,5.4875,SSD-01,[],
"('cat', 40, 60, 30)",40,60,30,10,143.6,4.462899999999999,SSD-01,[],
