instance,n_jobs,n_tools,magazine_size,variations,n_switches,time_running,run_type,sequence,switches
"('yan', 8, 15, 10)",8,15,10,30,7.93,1.9875699999999998,ORDER-SSD,[],
"('cram', 30, 40, 25)",30,40,25,10,52.8,3.3184,ORDER-SSD,[],
"('cat', 15, 20, 12)",15,20,12,10,9.9,2.5068,ORDER-SSD,[],
"('cat', 30, 40, 17)",30,40,17,10,99.8,4.4265,ORDER-SSD,[],
"('cat', 40, 60, 30)",40,60,30,10,143.6,3.5486,ORDER-SSD,[],
