author,n,m,C,run_type,Best_LS,Avg_LS,T_LS,i,Best_C,T_C,Best_DIF,T_DIF
cat,15,20,12,RR-CROSS-MULTI-BLOCK-favorCross,7.2,7.2,60.82,10,7.2,0.6,0.0,-10036.25
cat,30,40,17,RR-CROSS-MULTI-BLOCK-favorCross,67.5,67.5,1000.44,10,65.43,71.77,-3.16,-1293.95
cat,40,60,30,RR-CROSS-MULTI-BLOCK-favorCross,92.7,92.7,1000.42,10,84.66,484.14,-9.5,-106.64
cram,30,40,25,RR-CROSS-MULTI-BLOCK-favorCross,30.0,30.0,1000.48,10,27.7,62.61,-8.3,-1497.96
yan,8,15,10,RR-CROSS-MULTI-BLOCK-favorCross,6.83,6.83,15.4,30,6.83,0.04,-0.05,-38393.17
