author,n,m,C,run_type,Best_LS,Avg_LS,T_LS,i,Best_C,T_C,Best_DIF,T_DIF
cat,15,20,12,RR-BLOCK-A,7.2,7.2,32.0,10,7.2,0.6,0.0,-5232.95
cat,30,40,17,RR-BLOCK-A,67.2,67.2,853.09,10,65.43,71.77,-2.71,-1088.64
cat,40,60,30,RR-BLOCK-A,92.6,92.6,1000.36,10,84.66,484.14,-9.38,-106.63
cram,30,40,25,RR-BLOCK-A,29.7,29.7,1000.49,10,27.7,62.61,-7.22,-1497.97
yan,8,15,10,RR-BLOCK-A,6.83,6.83,7.04,30,6.83,0.04,-0.05,-17491.58
