instance,n_jobs,n_tools,magazine_size,variations,n_switches,time_running,run_type,sequence,switches
"('yan', 8, 15, 10)",8,15,10,30,6.83,29.65817,SWAP-02,[],
"('cram', 30, 40, 25)",30,40,25,10,43.7,79.0492,SWAP-02,[],
"('cat', 15, 20, 12)",15,20,12,10,7.2,29.594,SWAP-02,[],
"('cat', 30, 40, 17)",30,40,17,10,90.2,57.192699999999995,SWAP-02,[],
"('cat', 40, 60, 30)",40,60,30,10,131.1,78.2198,SWAP-02,[],
