author,n,m,C,run_type,Best_LS,Avg_LS,T_LS,i,Best_C,T_C,Best_DIF,T_DIF
cat,15,20,12,RR-MULTI-CROSS-MULTI-BLOCK-equal,7.2,7.2,73.47,10,7.2,0.6,0.0,-12145.38
cat,30,40,17,RR-MULTI-CROSS-MULTI-BLOCK-equal,67.7,67.7,1000.44,10,65.43,71.77,-3.47,-1293.95
cat,40,60,30,RR-MULTI-CROSS-MULTI-BLOCK-equal,91.0,91.0,1000.58,10,84.66,484.14,-7.49,-106.67
cram,30,40,25,RR-MULTI-CROSS-MULTI-BLOCK-equal,29.5,29.5,1000.45,10,27.7,62.61,-6.5,-1497.91
yan,8,15,10,RR-MULTI-CROSS-MULTI-BLOCK-equal,6.83,6.83,17.5,30,6.83,0.04,-0.05,-43642.08
