author,n,m,C,run_type,Best_LS,Avg_LS,T_LS,i,Best_ILS,Avg_ILS,T_ILS,Best_DQGA,Avg_DQGA,T_DQGA,Best_HGS,Avg_HGS,T_HGS,Best_C,T_C,Best_DIF,T_DIF
cat,10,10,4,V4-SMRI-TSEQ,8.5,8.5,3.99,10,8.5,8.5,0.09,8.5,8.5,0.19,8.5,8.5,0.07,8.5,0.07,0.0,-5603.14
cat,30,40,17,V4-SMRI-TSEQ,67.1,67.15,288.67,10,65.5,65.82,132.97,65.5,66.74,223.35,65.4,65.43,71.77,65.43,71.77,-2.55,-302.22
cat,40,60,30,V4-SMRI-TSEQ,91.6,91.9,299.14,10,85.2,85.42,1473.24,85.2,87.22,1296.5,84.3,84.66,484.14,84.66,484.14,-8.2,38.21
mec,60,90,40,V4-SMRI-TSEQ,342.6,342.7,292.05,5,,,,,,,320.2,321.08,7108.39,321.08,7108.39,-6.7,95.89
mec,70,105,55,V4-SMRI-TSEQ,328.4,329.8,306.16,5,,,,,,,298.2,299.8,11756.43,299.8,11756.43,-9.54,97.4
yan,25,25,20,V4-SMRI-TSEQ,5.5,5.5,101.23,30,5.5,5.59,72.58,5.5,5.5,6.68,5.5,5.5,5.97,5.5,5.97,0.0,-1595.57
