author,n,m,C,run_type,Best_LS,Avg_LS,T_LS,i,Best_C,T_C,Best_DIF,T_DIF
cat,15,20,12,RR-MULTI-CROSS-A,7.2,7.2,34.59,10,7.2,0.6,0.0,-5664.25
cat,30,40,17,RR-MULTI-CROSS-A,68.2,68.2,1000.44,10,65.43,71.77,-4.23,-1293.95
cat,40,60,30,RR-MULTI-CROSS-A,93.2,93.2,1000.44,10,84.66,484.14,-10.09,-106.64
cram,30,40,25,RR-MULTI-CROSS-A,30.0,30.0,1000.56,10,27.7,62.61,-8.3,-1498.09
yan,8,15,10,RR-MULTI-CROSS-A,6.83,6.83,8.53,30,6.83,0.04,-0.05,-21221.25
