author,n,m,C,run_type,Best_LS,Avg_LS,T_LS,i,Best_C,T_C,Best_DIF,T_DIF
cat,15,20,12,RR-MULTI-CROSS-BLOCK-favorCross-SA-TUNED,7.2,7.2,20.3,10,7.2,0.6,0.0,-3283.8
cat,30,40,17,RR-MULTI-CROSS-BLOCK-favorCross-SA-TUNED,66.7,66.7,958.51,10,65.43,71.77,-1.94,-1235.53
cat,40,60,30,RR-MULTI-CROSS-BLOCK-favorCross-SA-TUNED,89.6,89.6,1000.42,10,84.66,484.14,-5.84,-106.64
cram,30,40,25,RR-MULTI-CROSS-BLOCK-favorCross-SA-TUNED,29.4,29.4,965.03,10,27.7,62.61,-6.14,-1441.34
yan,8,15,10,RR-MULTI-CROSS-BLOCK-favorCross-SA-TUNED,6.83,6.83,7.06,30,6.83,0.04,-0.05,-17550.17
