author,n,m,C,run_type,Best_LS,Avg_LS,T_LS,i,Best_C,T_C,Best_DIF,T_DIF
cat,15,20,12,RR-MULTI-CROSS-BLOCK-favorCross-TIE,7.3,7.3,39.74,10,7.2,0.6,-1.39,-6524.02
cat,30,40,17,RR-MULTI-CROSS-BLOCK-favorCross-TIE,69.2,69.2,997.22,10,65.43,71.77,-5.76,-1289.46
cat,40,60,30,RR-MULTI-CROSS-BLOCK-favorCross-TIE,91.5,91.5,1000.43,10,84.66,484.14,-8.08,-106.64
cram,30,40,25,RR-MULTI-CROSS-BLOCK-favorCross-TIE,29.6,29.6,1000.55,10,27.7,62.61,-6.86,-1498.07
yan,8,15,10,RR-MULTI-CROSS-BLOCK-favorCross-TIE,7.07,7.07,9.84,30,6.83,0.04,-3.47,-24500.5
