instance,n_jobs,n_tools,magazine_size,variations,n_switches,time_running,run_type,sequence,switches
"('yan', 8, 15, 10)",8,15,10,30,7.67,2.1179699999999997,SD-03,[],
"('cram', 30, 40, 25)",30,40,25,10,52.6,3.2325999999999997,SD-03,[],
"('cat', 15, 20, 12)",15,20,12,10,9.2,2.3857,SD-03,[],
"('cat', 30, 40, 17)",30,40,17,10,101.7,4.5988,SD-03,[],
"('cat', 40, 60, 30)",40,60,30,10,143.6,3.6862,SD-03,[],
