instance,n_jobs,n_tools,magazine_size,variations,n_switches,time_running,run_type,sequence,switches
"('yan', 8, 15, 10)",8,15,10,30,6.83,61.4735,RR-01,[],
"('cram', 30, 40, 25)",30,40,25,10,41.3,61.216699999999996,RR-01,[],
"('cat', 15, 20, 12)",15,20,12,10,7.2,60.9988,RR-01,[],
"('cat', 30, 40, 17)",30,40,17,10,79.9,61.4497,RR-01,[],
"('cat', 40, 60, 30)",40,60,30,10,121.7,61.1857,RR-01,[],
