author,n,m,C,run_type,Best_LS,Avg_LS,T_LS,i,Best_C,T_C,Best_DIF,T_DIF
cat,15,20,12,RR-MULTI-CROSS-BLOCK-favorBlock,7.2,7.2,26.89,10,7.2,0.6,0.0,-4381.78
cat,30,40,17,RR-MULTI-CROSS-BLOCK-favorBlock,67.2,67.2,722.35,10,65.43,71.77,-2.71,-906.47
cat,40,60,30,RR-MULTI-CROSS-BLOCK-favorBlock,92.4,92.4,1000.54,10,84.66,484.14,-9.14,-106.66
cram,30,40,25,RR-MULTI-CROSS-BLOCK-favorBlock,29.5,29.5,993.86,10,27.7,62.61,-6.5,-1487.39
yan,8,15,10,RR-MULTI-CROSS-BLOCK-favorBlock,7.39,7.39,5.39,30,6.83,0.04,-8.22,-13374.46
