author,n,m,C,run_type,Best_LS,Avg_LS,T_LS,i,Best_C,T_C,Best_DIF,T_DIF
cat,15,20,12,RR-MULTI-CROSS-BLOCK-A,7.2,7.2,17.78,10,7.2,0.6,0.0,-2863.48
cat,30,40,17,RR-MULTI-CROSS-BLOCK-A,66.8,66.8,428.85,10,65.43,71.77,-2.09,-497.53
cat,40,60,30,RR-MULTI-CROSS-BLOCK-A,91.9,91.9,1000.36,10,84.66,484.14,-8.55,-106.63
cram,30,40,25,RR-MULTI-CROSS-BLOCK-A,29.6,29.6,588.91,10,27.7,62.61,-6.86,-840.6
yan,8,15,10,RR-MULTI-CROSS-BLOCK-A,6.83,6.83,5.9,30,6.83,0.04,-0.05,-14644.58
