instance,n_jobs,n_tools,magazine_size,variations,n_switches,time_running,run_type,sequence,switches
"('yan', 8, 15, 10)",8,15,10,30,7.8,2.6908000000000003,"9,7-SD-RANDOM",[],
"('cram', 30, 40, 25)",30,40,25,10,52.6,4.3787,"9,7-SD-RANDOM",[],
"('cat', 15, 20, 12)",15,20,12,10,9.2,3.3235,"9,7-SD-RANDOM",[],
"('cat', 30, 40, 17)",30,40,17,10,98.5,6.594,"9,7-SD-RANDOM",[],
"('cat', 40, 60, 30)",40,60,30,10,143.6,5.7788,"9,7-SD-RANDOM",[],
