instance,n_jobs,n_tools,magazine_size,variations,n_switches,time_running,run_type,sequence,switches
"('yan', 8, 15, 10)",8,15,10,30,6.83,112.90037,RR-02,[],
"('cram', 30, 40, 25)",30,40,25,10,40.5,241.17929999999998,RR-02,[],
"('cat', 15, 20, 12)",15,20,12,10,7.2,241.1489,RR-02,[],
"('cat', 30, 40, 17)",30,40,17,10,77.9,240.90970000000002,RR-02,[],
"('cat', 40, 60, 30)",40,60,30,10,119.3,240.9733,RR-02,[],
