instance,n_jobs,n_tools,magazine_size,variations,n_switches,time_running,run_type,sequence,switches
"('yan', 8, 15, 10)",8,15,10,30,7.93,2.37957,"9,7-SD-ORDERED",[],
"('cram', 30, 40, 25)",30,40,25,10,52.8,3.4819,"9,7-SD-ORDERED",[],
"('cat', 15, 20, 12)",15,20,12,10,9.9,2.6736,"9,7-SD-ORDERED",[],
"('cat', 30, 40, 17)",30,40,17,10,99.8,5.1873000000000005,"9,7-SD-ORDERED",[],
"('cat', 40, 60, 30)",40,60,30,10,143.6,3.8571,"9,7-SD-ORDERED",[],
