instance,n_jobs,n_tools,magazine_size,variations,n_switches,time_running,run_type,sequence,switches
"('yan', 8, 15, 10)",8,15,10,30,7.67,0.30487000000000003,SD-01,[],
"('cram', 30, 40, 25)",30,40,25,10,52.6,0.4185,SD-01,[],
"('cat', 15, 20, 12)",15,20,12,10,9.2,0.3082,SD-01,[],
"('cat', 30, 40, 17)",30,40,17,10,101.7,0.4903,SD-01,[],
"('cat', 40, 60, 30)",40,60,30,10,143.6,0.5385,SD-01,[],
