instance,n_jobs,n_tools,magazine_size,variations,n_switches,time_running,run_type,sequence,switches
"('yan', 8, 15, 10)",8,15,10,30,7.8,2.13973,SSD-04,[],
"('cram', 30, 40, 25)",30,40,25,10,52.6,3.3649,SSD-04,[],
"('cat', 15, 20, 12)",15,20,12,10,9.2,2.625,SSD-04,[],
"('cat', 30, 40, 17)",30,40,17,10,98.5,5.9517,SSD-04,[],
"('cat', 40, 60, 30)",40,60,30,10,143.6,4.398899999999999,SSD-04,[],
