0	0 0 1 1 0 1 0 0 1 1 	0
1	1 1 0 0 0 1 0 0 1 1 	0
2	1 1 0 0 0 1 0 0 1 1 	0
3	1 0 0 0 0 0 0 1 1 1 	0
6	1 0 1 0 0 1 1 1 0 0 	0
5	1 0 1 1 0 1 1 0 0 0 	0
4	0 0 0 1 1 0 1 1 1 0 	0
7	0 0 0 0 1 1 1 1 1 0 	0
8	0 0 1 1 1 0 1 0 0 1 	0
9	0 0 0 0 1 0 0 0 0 1 	0
 	                    	---
 	                    	31


0	0 0 0 0 0 0 0 0 0 0 	/
1	1 0 0 0 0 1 0 0 1 0 	/
2	1 0 0 0 0 0 0 0 1 1 	/
3	1 0 0 0 0 0 0 1 0 0 	/
6	0 0 1 0 0 1 1 0 0 0 	/
5	0 0 0 1 0 0 0 0 0 0 	/
4	0 0 0 0 0 0 0 0 0 0 	/
7	0 0 0 0 0 0 0 0 0 0 	/
8	0 0 0 0 1 0 0 0 0 1 	/
9	0 0 0 0 0 0 0 0 0 0 	/
 	                    	---
 	                    	/

- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - 

0	0 0 1 1 0 1 0 0 1 1 	0
1	1 1 0 0 0 1 0 0 1 1 	0
2	1 1 0 0 0 1 0 0 1 1 	0
3	1 0 1 0 0 1 0 0 1 1 	0
5	1 0 1 0 0 1 1 1 0 0 	0
6	1 0 0 1 1 0 1 1 0 0 	0
4	0 0 0 1 1 0 1 1 1 0 	0
7	0 0 0 0 1 1 1 1 1 0 	0
8	0 0 1 1 1 0 1 0 0 1 	0
9	0 0 0 0 1 0 0 0 0 1 	0
 	                    	---
 	                    	27


0	0 0 0 0 0 0 0 0 0 0 	/
1	1 0 0 0 0 1 0 0 1 0 	/
2	1 0 0 0 0 0 0 0 1 1 	/
3	1 0 1 0 0 1 0 0 0 0 	/
5	0 0 0 0 0 0 0 1 0 0 	/
6	0 0 0 1 1 0 1 0 0 0 	/
4	0 0 0 0 0 0 0 0 0 0 	/
7	0 0 0 0 0 0 0 0 0 0 	/
8	0 0 0 0 1 0 0 0 0 1 	/
9	0 0 0 0 0 0 0 0 0 0 	/
 	                    	---
 	                    	/

- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - 

5	1 1 1 0 0 1 1 0 0 0 	0
1	0 1 1 0 0 1 0 0 1 1 	0
2	0 1 1 0 0 1 0 0 1 1 	0
3	0 0 1 1 0 1 0 0 1 1 	0
0	0 0 1 1 0 1 0 0 1 1 	0
6	1 0 0 1 1 0 1 1 0 0 	0
4	0 0 0 1 1 0 1 1 1 0 	0
7	0 0 0 0 1 1 1 1 1 0 	0
9	0 0 1 1 1 0 1 0 0 1 	0
8	0 0 1 1 0 0 1 0 0 0 	0
 	                    	---
 	                    	26


5	0 1 0 0 0 0 0 0 0 0 	/
1	0 0 1 0 0 1 0 0 1 0 	/
2	0 0 1 0 0 0 0 0 1 1 	/
3	0 0 1 1 0 1 0 0 0 0 	/
0	0 0 0 0 0 0 0 0 0 0 	/
6	0 0 0 1 1 0 1 0 0 0 	/
4	0 0 0 0 0 0 0 0 0 0 	/
7	0 0 0 0 0 0 0 0 0 0 	/
9	0 0 1 1 0 0 1 0 0 0 	/
8	0 0 0 0 0 0 0 0 0 0 	/
 	                    	---
 	                    	/

- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - 

2	0 1 1 1 0 1 0 0 0 1 	0
1	0 1 1 1 0 1 0 0 0 1 	0
0	0 0 1 1 0 1 0 0 1 1 	0
3	1 0 1 0 0 1 0 0 1 1 	0
5	1 0 1 0 0 1 1 1 0 0 	0
6	1 0 0 1 1 0 1 1 0 0 	0
4	0 0 0 1 1 0 1 1 1 0 	0
7	0 0 0 0 1 1 1 1 1 0 	0
9	0 0 1 1 1 0 1 0 0 1 	0
8	0 0 1 1 0 0 1 0 0 0 	0
 	                    	---
 	                    	24


2	0 0 1 1 0 0 0 0 0 1 	/
1	0 0 1 1 0 1 0 0 0 0 	/
0	0 0 0 0 0 0 0 0 0 0 	/
3	1 0 1 0 0 1 0 0 0 0 	/
5	0 0 0 0 0 0 0 1 0 0 	/
6	0 0 0 1 1 0 1 0 0 0 	/
4	0 0 0 0 0 0 0 0 0 0 	/
7	0 0 0 0 0 0 0 0 0 0 	/
9	0 0 1 1 0 0 1 0 0 0 	/
8	0 0 0 0 0 0 0 0 0 0 	/
 	                    	---
 	                    	/

- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - 

0	0 0 1 1 0 1 0 0 1 1 	0
3	0 1 0 1 1 0 0 0 1 1 	0
9	0 1 0 1 1 0 1 0 0 1 	0
1	0 1 0 1 1 0 1 0 0 1 	0
4	0 0 0 1 1 0 1 1 1 0 	0
7	0 0 0 0 1 1 1 1 1 0 	0
6	1 0 1 0 0 1 1 1 0 0 	0
5	1 0 1 1 0 1 1 0 0 0 	0
8	0 1 1 1 0 1 1 0 0 0 	0
2	0 1 0 0 0 1 0 0 0 0 	0
 	                    	---
 	                    	23


0	0 0 0 0 0 0 0 0 0 0 	/
3	0 1 0 1 1 0 0 0 0 0 	/
9	0 1 0 1 0 0 1 0 0 0 	/
1	0 0 0 1 1 0 1 0 0 0 	/
4	0 0 0 0 0 0 0 0 0 0 	/
7	0 0 0 0 0 0 0 0 0 0 	/
6	0 0 1 0 0 1 1 0 0 0 	/
5	0 0 0 1 0 0 0 0 0 0 	/
8	0 1 0 0 0 1 0 0 0 0 	/
2	0 0 0 0 0 0 0 0 0 0 	/
 	                    	---
 	                    	/

- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - 

9	1 0 0 1 1 0 0 1 0 1 	0
6	1 0 0 1 1 0 1 1 0 0 	0
4	0 0 0 1 1 0 1 1 1 0 	0
7	0 0 0 0 1 1 1 1 1 0 	0
3	0 1 0 0 0 1 0 0 1 1 	0
2	1 1 1 0 0 1 0 0 0 1 	0
1	1 1 1 0 0 1 0 0 0 1 	0
5	1 0 1 1 0 1 1 0 0 0 	0
8	0 0 1 1 0 1 1 0 1 0 	0
0	0 0 1 1 0 1 0 0 1 1 	0
 	                    	---
 	                    	22


9	1 0 0 1 0 0 0 1 0 0 	/
6	0 0 0 1 1 0 1 0 0 0 	/
4	0 0 0 0 0 0 0 0 0 0 	/
7	0 0 0 0 0 0 0 0 0 0 	/
3	0 1 0 0 0 1 0 0 0 0 	/
2	1 0 1 0 0 0 0 0 0 1 	/
1	1 0 1 0 0 1 0 0 0 0 	/
5	0 0 0 1 0 0 0 0 0 0 	/
8	0 0 0 0 0 1 0 0 1 0 	/
0	0 0 0 0 0 0 0 0 0 0 	/
 	                    	---
 	                    	/

