instance,n_jobs,n_tools,magazine_size,variations,n_switches,time_running,run_type,sequence,switches
"('yan', 8, 15, 5)",8,15,5,10,12.0,9.421899999999999,BF-B,[],
"('yan', 8, 15, 10)",8,15,10,30,6.87,15.49033,BF-B,[],
"('yan', 8, 20, 10)",8,20,10,30,13.2,12.3971,BF-B,[],
"('yan', 8, 20, 5)",8,20,5,10,16.8,13.1031,BF-B,[],
