instance,n_jobs,n_tools,magazine_size,variations,switches,run_time,run_type,sequence
yan_8_15_5,8,15,5,,12.0,8824.0,,[]
yan_8_15_10,8,15,10,,6.866666666666666,15920.2,,[]
yan_8_20_10,8,20,10,,13.2,10077.9,,[]
yan_8_20_5,8,20,5,,16.8,10583.8,,[]
