instance,n_jobs,n_tools,magazine_size,variations,switches,run_time,run_type,sequence
"('yan', 8, 15, 5)",8,15,5,10,12.0,10.8494,DEBUG-A,[]
"('yan', 8, 15, 10)",8,15,10,30,6.87,10.96463,DEBUG-A,[]
"('yan', 8, 20, 10)",8,20,10,30,13.2,11.25883,DEBUG-A,[]
"('yan', 8, 20, 5)",8,20,5,10,16.8,10.571,DEBUG-A,[]
